Case_ID,Timestamp,Event,Flammability_Score
45346,2025-11-08 08:12:54.791919456,Fire_Arrival,0.46
45217,2025-11-08 08:12:55.457152236,Fire_Arrival,0.34
44066,2025-11-08 08:12:56.742691902,Fire_Arrival,0.19
47816,2025-11-08 08:12:56.959578192,Fire_Arrival,0.34
45342,2025-11-08 08:12:58.664097756,Fire_Arrival,0.34
28762,2025-11-08 08:12:58.779641646,Fire_Arrival,0.49
28757,2025-11-08 08:13:03.034690890,Fire_Arrival,0.46
43960,2025-11-08 08:13:07.753694981,Fire_Arrival,0.34
44700,2025-11-08 08:13:11.478908904,Fire_Arrival,0.34
53099,2025-11-08 08:13:11.505115488,Fire_Arrival,0.5
43954,2025-11-08 08:13:12.220080660,Fire_Arrival,0.61
43198,2025-11-08 08:13:12.229877454,Ignition,0.21
45340,2025-11-08 08:13:12.740101944,Fire_Arrival,0.46
53031,2025-11-08 08:13:13.759504692,Ignition,0.5
43957,2025-11-08 08:13:17.489971482,Fire_Arrival,0.36
45345,2025-11-08 08:13:20.652286410,Fire_Arrival,0.49
28756,2025-11-08 08:13:21.252302454,Fire_Arrival,0.41
46375,2025-11-08 08:13:26.405258544,Ignition,0.34
45274,2025-11-08 08:13:31.904087088,Fire_Arrival,0.66
28752,2025-11-08 08:13:32.183768796,Fire_Arrival,0.34
43961,2025-11-08 08:13:34.678981344,Fire_Arrival,0.41
43487,2025-11-08 08:13:35.147100882,Fire_Arrival,0.49
45272,2025-11-08 08:13:35.254692336,Fire_Arrival,0.66
46509,2025-11-08 08:13:35.533779720,Ignition,0.66
45339,2025-11-08 08:13:37.278762084,Fire_Arrival,0.34
45215,2025-11-08 08:13:38.697985806,Fire_Arrival,0.36
45338,2025-11-08 08:13:39.237222054,Fire_Arrival,0.34
45228,2025-11-08 08:13:42.854853582,Fire_Arrival,0.34
43545,2025-11-08 08:13:46.712779062,Ignition,0.46
28799,2025-11-08 08:13:48.279021558,Fire_Arrival,0.46
47820,2025-11-08 08:13:49.111706124,Fire_Arrival,0.34
43476,2025-11-08 08:13:50.723537298,Fire_Arrival,0.46
43952,2025-11-08 08:13:51.321679596,Fire_Arrival,0.34
45344,2025-11-08 08:13:53.036799924,Fire_Arrival,0.46
45341,2025-11-08 08:13:54.675873702,Fire_Arrival,0.34
29637,2025-11-08 08:13:57.470457066,Fire_Arrival,0.46
28751,2025-11-08 08:13:59.665657182,Fire_Arrival,0.54
28758,2025-11-08 08:14:02.564528520,Fire_Arrival,0.54
28753,2025-11-08 08:14:04.011956808,Fire_Arrival,0.34
44782,2025-11-08 08:14:07.054869486,Fire_Arrival,0.46
45343,2025-11-08 08:14:11.305131894,Fire_Arrival,0.66
45229,2025-11-08 08:14:11.357009280,Fire_Arrival,0.34
28761,2025-11-08 08:14:13.038221982,Fire_Arrival,0.66
43474,2025-11-08 08:14:16.589391048,Fire_Arrival,0.46
45216,2025-11-08 08:14:17.531632866,Fire_Arrival,0.36
28750,2025-11-08 08:14:28.909478712,Fire_Arrival,0.34
53074,2025-11-08 08:14:30.057905754,Fire_Arrival,0.5
43473,2025-11-08 08:14:39.897075624,Fire_Arrival,0.66
47821,2025-11-08 08:14:43.443345456,Fire_Arrival,0.34
53264,2025-11-08 08:14:45.285574368,Ignition,0.5
46510,2025-11-08 08:14:46.402112196,Ignition,0.46
53330,2025-11-08 08:14:47.191415628,Fire_Arrival,0.5
45271,2025-11-08 08:14:51.689787996,Fire_Arrival,0.46
43486,2025-11-08 08:14:56.337938970,Fire_Arrival,0.66
43477,2025-11-08 08:14:57.587192100,Fire_Arrival,0.46
28774,2025-11-08 08:14:59.615749644,Ignition,0.46
28781,2025-11-08 08:15:00.649182456,Ignition,0.66
28759,2025-11-08 08:15:05.539947336,Fire_Arrival,0.66
29638,2025-11-08 08:15:08.933146902,Fire_Arrival,0.46
42931,2025-11-08 08:15:13.992755514,Fire_Arrival,0.34
44040,2025-11-08 08:15:20.071044294,Fire_Arrival,0.49
47817,2025-11-08 08:15:24.527592966,Fire_Arrival,0.44
28760,2025-11-08 08:15:27.221907348,Fire_Arrival,0.19
29635,2025-11-08 08:15:32.623109772,Fire_Arrival,0.46
28749,2025-11-08 08:15:35.780849292,Fire_Arrival,0.34
44227,2025-11-08 08:15:36.404798076,Fire_Arrival,0.49
47822,2025-11-08 08:15:41.675126502,Fire_Arrival,0.34
